time,open,high,low,close,Volume,Volume MA
8/28/2008,68.05,68.05,68.05,68.05,NaN,NaN
8/29/2008,68.07,68.07,68.07,68.07,NaN,NaN
9/2/2008,69.65,69.65,69.65,69.65,NaN,NaN
9/3/2008,69.93,69.93,69.93,69.93,NaN,NaN
9/4/2008,72.38,72.38,72.38,72.38,NaN,NaN
9/5/2008,70.39,70.39,70.39,70.39,NaN,NaN
9/8/2008,67.94,67.94,67.94,67.94,NaN,NaN
9/9/2008,70.68,70.68,70.68,70.68,NaN,NaN
9/10/2008,70.63,70.63,70.63,70.63,NaN,NaN
9/11/2008,71.03,71.03,71.03,71.03,NaN,NaN
9/12/2008,70.26,70.26,70.26,70.26,NaN,NaN
9/15/2008,79.37,79.37,79.37,79.37,NaN,NaN
9/16/2008,74.38,74.38,74.38,74.38,NaN,NaN
9/17/2008,93.04,93.04,93.04,93.04,NaN,NaN
9/18/2008,89.33,89.33,89.33,89.33,NaN,NaN
9/19/2008,79.37,79.37,79.37,79.37,NaN,NaN
9/22/2008,83.92,83.92,83.92,83.92,NaN,NaN
9/23/2008,84.77,84.77,84.77,84.77,NaN,NaN
9/24/2008,86.66,86.66,86.66,86.66,NaN,NaN
9/25/2008,82.96,82.96,82.96,82.96,NaN,NaN
9/26/2008,87.81,87.81,87.81,87.81,NaN,NaN
9/29/2008,99.86,99.86,99.86,99.86,NaN,NaN
9/30/2008,92.23,92.23,92.23,92.23,NaN,NaN
10/1/2008,89.76,89.76,89.76,89.76,NaN,NaN
10/2/2008,95.29,95.29,95.29,95.29,NaN,NaN
10/3/2008,94.68,94.68,94.68,94.68,NaN,NaN
10/6/2008,104.82,104.82,104.82,104.82,NaN,NaN
10/7/2008,106.47,106.47,106.47,106.47,NaN,NaN
10/8/2008,104.99,104.99,104.99,104.99,NaN,NaN
10/9/2008,108.05,108.05,108.05,108.05,NaN,NaN
10/10/2008,116,116,116,116,NaN,NaN
10/13/2008,110.07,110.07,110.07,110.07,NaN,NaN
10/14/2008,105.64,105.64,105.64,105.64,NaN,NaN
10/15/2008,114.93,114.93,114.93,114.93,NaN,NaN
10/16/2008,119.48,119.48,119.48,119.48,NaN,NaN
10/17/2008,117.45,117.45,117.45,117.45,NaN,NaN
10/20/2008,115.98,115.98,115.98,115.98,NaN,NaN
10/21/2008,114.28,114.28,114.28,114.28,NaN,NaN
10/22/2008,123.31,123.31,123.31,123.31,NaN,NaN
10/23/2008,121.61,121.61,121.61,121.61,NaN,NaN
10/24/2008,128.09,128.09,128.09,128.09,NaN,NaN
10/27/2008,134.87,134.87,134.87,134.87,NaN,NaN
10/28/2008,127.46,127.46,127.46,127.46,NaN,NaN
10/29/2008,124.73,124.73,124.73,124.73,NaN,NaN
10/30/2008,121.52,121.52,121.52,121.52,NaN,NaN
10/31/2008,116.94,116.94,116.94,116.94,NaN,NaN
11/3/2008,116.19,116.19,116.19,116.19,NaN,NaN
11/4/2008,116.29,116.29,116.29,116.29,NaN,NaN
11/5/2008,117.03,117.03,117.03,117.03,NaN,NaN
11/6/2008,125,125,125,125,NaN,NaN
11/7/2008,116.37,116.37,116.37,116.37,NaN,NaN
11/10/2008,116.53,116.53,116.53,116.53,NaN,NaN
11/11/2008,114.11,114.11,114.11,114.11,NaN,NaN
11/12/2008,123.26,123.26,123.26,123.26,NaN,NaN
11/13/2008,117.12,117.12,117.12,117.12,NaN,NaN
11/14/2008,118.34,118.34,118.34,118.34,NaN,NaN
11/17/2008,115.1,115.1,115.1,115.1,NaN,NaN
11/18/2008,106.9,106.9,106.9,106.9,NaN,NaN
11/19/2008,102.48,102.48,102.48,102.48,NaN,NaN
11/20/2008,106.71,106.71,106.71,106.71,NaN,NaN
11/21/2008,99.48,99.48,99.48,99.48,NaN,NaN
11/24/2008,92.31,92.31,92.31,92.31,NaN,NaN
11/25/2008,90.28,90.28,90.28,90.28,NaN,NaN
11/26/2008,89.32,89.32,89.32,89.32,NaN,NaN
11/28/2008,88.41,88.41,88.41,88.41,NaN,NaN
12/1/2008,90.49,90.49,90.49,90.49,NaN,NaN
12/2/2008,87.08,87.08,87.08,87.08,NaN,NaN
12/3/2008,84.72,84.72,84.72,84.72,NaN,NaN
12/4/2008,83.94,83.94,83.94,83.94,NaN,NaN
12/5/2008,82.9,82.9,82.9,82.9,NaN,NaN
12/8/2008,82.1,82.1,82.1,82.1,NaN,NaN
12/9/2008,80.75,80.75,80.75,80.75,NaN,NaN
12/10/2008,86.46,86.46,86.46,86.46,NaN,NaN
12/11/2008,88.68,88.68,88.68,88.68,NaN,NaN
12/12/2008,86.27,86.27,86.27,86.27,NaN,NaN
12/15/2008,82.03,82.03,82.03,82.03,NaN,NaN
12/16/2008,79.99,79.99,79.99,79.99,NaN,NaN
12/17/2008,75.17,75.17,75.17,75.17,NaN,NaN
12/18/2008,81.26,81.26,81.26,81.26,NaN,NaN
12/19/2008,87.69,87.69,87.69,87.69,NaN,NaN
12/22/2008,87.04,87.04,87.04,87.04,NaN,NaN
12/23/2008,86.39,86.39,86.39,86.39,NaN,NaN
12/24/2008,85.1,85.1,85.1,85.1,NaN,NaN
12/26/2008,83.74,83.74,83.74,83.74,NaN,NaN
12/29/2008,83.96,83.96,83.96,83.96,NaN,NaN
12/30/2008,80.89,80.89,80.89,80.89,NaN,NaN
12/31/2008,85.6,85.6,85.6,85.6,NaN,NaN
1/2/2009,84.41,84.41,84.41,84.41,NaN,NaN
1/5/2009,90.89,90.89,90.89,90.89,NaN,NaN
1/6/2009,90.33,90.33,90.33,90.33,NaN,NaN
1/7/2009,93.99,93.99,93.99,93.99,NaN,NaN
1/8/2009,93.14,93.14,93.14,93.14,NaN,NaN
1/9/2009,91.52,91.52,91.52,91.52,NaN,NaN
1/12/2009,93.26,93.26,93.26,93.26,NaN,NaN
1/13/2009,92.5,92.5,92.5,92.5,NaN,NaN
1/14/2009,99.88,99.88,99.88,99.88,NaN,NaN
1/15/2009,96.44,96.44,96.44,96.44,NaN,NaN
1/16/2009,98.79,98.79,98.79,98.79,NaN,NaN
1/20/2009,104.02,104.02,104.02,104.02,NaN,NaN
1/21/2009,100.81,100.81,100.81,100.81,NaN,NaN
1/22/2009,98.87,98.87,98.87,98.87,NaN,NaN
1/23/2009,95.7,95.7,95.7,95.7,NaN,NaN
1/26/2009,96.17,96.17,96.17,96.17,NaN,NaN
1/27/2009,95.48,95.48,95.48,95.48,NaN,NaN
1/28/2009,98.22,98.22,98.22,98.22,NaN,NaN
1/29/2009,98.98,98.98,98.98,98.98,NaN,NaN
1/30/2009,98.72,98.72,98.72,98.72,NaN,NaN
2/2/2009,96.48,96.48,96.48,96.48,NaN,NaN
2/3/2009,92.25,92.25,92.25,92.25,NaN,NaN
2/4/2009,91.57,91.57,91.57,91.57,NaN,NaN
2/5/2009,92.26,92.26,92.26,92.26,NaN,NaN
2/6/2009,94.01,94.01,94.01,94.01,NaN,NaN
2/9/2009,94.38,94.38,94.38,94.38,NaN,NaN
2/10/2009,95.98,95.98,95.98,95.98,NaN,NaN
2/11/2009,94.67,94.67,94.67,94.67,NaN,NaN
