time,open,high,low,close,Volume,Volume MA
2012-07-10,0.56,1.057,0.531,1.041,NaN,NaN
2012-07-11,1.567,1.567,0.777,0.827,NaN,NaN
2012-07-12,1.188,1.35,0.994,1.005,NaN,NaN
2012-07-13,1.606,1.606,0.945,1.146,NaN,NaN
2012-07-16,0.42,1.007,0.42,0.989,NaN,NaN
2012-07-17,0.983,1.06,0.527,0.764,NaN,NaN
2012-07-18,2.046,2.046,0.837,0.873,NaN,NaN
2012-07-19,0.74,0.992,0.66,0.873,NaN,NaN
2012-07-20,0.937,1.361,0.937,1.053,NaN,NaN
2012-07-23,1.1,1.218,0.8,0.804,NaN,NaN
2012-07-24,1.189,1.541,0.789,0.827,NaN,NaN
2012-07-25,0.754,1.53,0.754,0.868,NaN,NaN
2012-07-26,0.578,1.102,0.511,1.102,NaN,NaN
2012-07-27,1.208,1.221,0.745,0.915,NaN,NaN
2012-07-30,0.535,0.678,0.371,0.659,NaN,NaN
2012-07-31,1.107,1.512,0.733,0.825,NaN,NaN
2012-08-01,0.659,1.425,0.426,1.065,NaN,NaN
2012-08-02,0.709,1.143,0.709,1.004,NaN,NaN
2012-08-03,0.944,1.613,0.791,0.904,NaN,NaN
2012-08-06,1.202,1.617,0.835,0.863,NaN,NaN
2012-08-07,0.669,0.996,0.521,0.873,NaN,NaN
2012-08-08,0.865,1.704,0.832,0.866,NaN,NaN
2012-08-09,0.814,1.328,0.758,0.949,NaN,NaN
2012-08-10,1.917,1.917,1.038,1.1,NaN,NaN
2012-08-13,0.969,1.087,0.528,0.715,NaN,NaN
2012-08-14,0.998,1.151,0.883,0.981,NaN,NaN
2012-08-15,0.564,0.795,0.426,0.637,NaN,NaN
2012-08-16,1.472,1.513,0.711,0.949,NaN,NaN
2012-08-17,1.167,1.237,0.633,0.793,NaN,NaN
2012-08-20,0.855,2.213,0.792,1.388,NaN,NaN
2012-08-21,0.494,1.06,0.479,0.838,NaN,NaN
2012-08-22,2.315,2.315,0.843,1.079,NaN,NaN
2012-08-23,1.012,1.205,0.653,1.136,NaN,NaN
2012-08-24,1.021,1.718,0.912,0.92,NaN,NaN
2012-08-27,0.781,1.861,0.757,1.019,NaN,NaN
2012-08-28,1.216,1.27,0.79,0.973,NaN,NaN
2012-08-29,1.118,1.426,0.882,0.966,NaN,NaN
2012-08-30,1.126,1.627,1.002,1.151,NaN,NaN
2012-08-31,1.675,1.783,0.964,1.218,NaN,NaN
2012-09-04,1.145,1.18,0.826,1.036,NaN,NaN
2012-09-05,0.558,0.976,0.517,0.935,NaN,NaN
2012-09-06,1.594,1.594,0.82,0.917,NaN,NaN
2012-09-07,0.68,0.877,0.582,0.821,NaN,NaN
2012-09-10,0.494,0.832,0.494,0.735,NaN,NaN
2012-09-11,0.628,0.752,0.474,0.745,NaN,NaN
2012-09-12,0.624,0.718,0.482,0.718,NaN,NaN
2012-09-13,0.505,0.918,0.396,0.746,NaN,NaN
2012-09-14,0.71,0.746,0.557,0.745,NaN,NaN
2012-09-17,0.545,1.104,0.453,1.043,NaN,NaN
2012-09-18,0.499,1.59,0.484,1.025,NaN,NaN
2012-09-19,1.772,1.772,0.674,0.674,NaN,NaN
2012-09-20,0.909,1.067,0.623,0.835,NaN,NaN
2012-09-21,0.55,1.11,0.433,0.894,NaN,NaN
2012-09-24,0.664,1.201,0.664,0.791,NaN,NaN
2012-09-25,0.635,1.65,0.628,0.923,NaN,NaN
2012-09-26,0.911,1.183,0.875,0.938,NaN,NaN
2012-09-27,0.7,1.405,0.7,0.966,NaN,NaN
2012-09-28,0.554,1.127,0.554,0.889,NaN,NaN
2012-10-01,0.598,1.015,0.544,0.909,NaN,NaN
2012-10-02,0.895,1.401,0.652,1.175,NaN,NaN
2012-10-03,0.905,1.859,0.825,1.081,NaN,NaN
2012-10-04,0.784,1.175,0.745,0.964,NaN,NaN
2012-10-05,0.889,1.204,0.849,0.937,NaN,NaN
2012-10-08,1.651,1.8,0.679,0.975,NaN,NaN
2012-10-09,0.587,1.77,0.565,0.981,NaN,NaN
2012-10-10,0.708,1.301,0.646,0.997,NaN,NaN
2012-10-11,0.687,0.969,0.616,0.947,NaN,NaN
2012-10-12,0.863,1.275,0.852,1.095,NaN,NaN
2012-10-15,0.568,0.705,0.488,0.624,NaN,NaN
2012-10-16,0.826,0.898,0.704,0.792,NaN,NaN
2012-10-17,2.413,2.413,0.742,0.783,NaN,NaN
2012-10-18,0.836,1.204,0.561,0.875,NaN,NaN
2012-10-19,0.94,1.335,0.745,1.159,NaN,NaN
2012-10-22,1.862,1.944,0.929,1.052,NaN,NaN
2012-10-23,1.203,1.498,0.79,0.881,NaN,NaN
2012-10-24,0.74,0.938,0.628,0.921,NaN,NaN
2012-10-25,1.409,1.52,0.37,0.644,NaN,NaN
2012-10-26,1.945,1.945,1.135,1.201,NaN,NaN
2012-10-31,1.14,1.494,0.806,0.884,NaN,NaN
2012-11-01,1.812,1.812,1.026,1.106,NaN,NaN
2012-11-02,1.103,1.169,0.6,0.658,NaN,NaN
2012-11-05,1.451,1.704,0.723,0.857,NaN,NaN
2012-11-06,0.721,1.172,0.588,0.969,NaN,NaN
2012-11-07,0.859,1.038,0.859,0.972,NaN,NaN
2012-11-08,1.769,1.769,0.82,1.13,NaN,NaN
2012-11-09,1.853,1.901,1.285,1.434,NaN,NaN
2012-11-12,0.902,1.225,0.728,1.019,NaN,NaN
2012-11-13,0.916,0.916,0.481,0.637,NaN,NaN
2012-11-14,0.786,1.385,0.639,1.197,NaN,NaN
2012-11-15,2.026,2.026,1.247,1.316,NaN,NaN
2012-11-16,1.933,2.884,0.986,1.003,NaN,NaN
2012-11-19,1.045,1.179,0.643,0.75,NaN,NaN
2012-11-20,1.285,1.993,1.084,1.526,NaN,NaN
2012-11-21,1.711,1.711,0.771,0.975,NaN,NaN
2012-11-23,2.303,2.303,0.712,0.993,NaN,NaN
2012-11-26,0.87,0.893,0.433,0.472,NaN,NaN
2012-11-27,0.937,1.224,0.882,0.966,NaN,NaN
2012-11-28,1.528,1.805,0.749,0.77,NaN,NaN
2012-11-29,0.471,1.326,0.471,1.133,NaN,NaN
2012-11-30,1.513,1.522,1.083,1.292,NaN,NaN
2012-12-03,1.045,1.25,0.587,0.8,NaN,NaN
2012-12-04,0.922,1.446,0.632,1.032,NaN,NaN
2012-12-05,0.571,1.546,0.571,0.798,NaN,NaN
2012-12-06,0.777,1.272,0.679,1.2,NaN,NaN
2012-12-07,1.208,1.208,0.516,0.736,NaN,NaN
2012-12-10,1.325,1.489,0.835,0.962,NaN,NaN
2012-12-11,1.637,1.637,0.611,0.728,NaN,NaN
